date_only,sentiment_mean,sentiment_min,sentiment_max,tweet_count
2018-08-21,0.7128749999999999,0.0,0.9611,4
2018-08-24,0.4955,0.1945,0.8516,3
2018-08-26,0.8268,0.8268,0.8268,1
2018-08-27,0.9117,0.8832,0.9402,2
2018-08-28,-0.2465,-0.2465,-0.2465,1
2018-08-29,0.35952,-0.7184,0.9494,10
2018-08-30,0.9013500000000001,0.8353,0.9674,2
2018-08-31,-0.8481,-0.8481,-0.8481,1
2018-09-01,0.0983,-0.296,0.4926,2
2018-09-02,-0.07799999999999999,-0.6486,0.4926,2
2018-09-03,0.09386000000000001,-0.9125,0.7965,5
2018-09-04,0.06067500000000001,-0.7236,0.8383,4
2018-09-05,-0.006600000000000013,-0.5772,0.5574,3
2018-09-06,0.0,0.0,0.0,1
2018-09-07,0.6793666666666667,0.2558,0.9273,3
2018-09-08,0.8684666666666666,0.7367,0.9628,3
2018-09-09,0.737525,0.5147,0.8979,4
2018-09-10,-0.27352,-0.7574,0.3612,5
2018-09-11,0.9263,0.9263,0.9263,1
2018-09-13,-0.6718,-0.682,-0.6616,2
2018-09-14,-0.44786666666666664,-0.8025,0.0,3
2018-09-15,0.80025,0.6114,0.9447,4
2018-09-17,0.6233,0.5106,0.6996,3
2018-09-18,-0.03859999999999999,-0.8442,0.7901,5
2018-09-19,0.32985,0.0,0.6597,2
2018-09-20,0.43264,0.0,0.9235,5
2018-09-21,-0.04318333333333333,-0.4556,0.6696,6
2018-09-23,0.6696,0.6696,0.6696,1
2018-09-25,0.6689,0.6689,0.6689,1
2018-09-26,-0.4199,-0.4199,-0.4199,1
2018-09-29,-0.501,-0.501,-0.501,1
2018-10-02,0.891,0.891,0.891,1
2018-10-03,0.5166,0.1027,0.9305,2
2018-10-04,0.8198,0.8198,0.8198,1
2018-10-05,-0.8458,-0.8458,-0.8458,1
2018-10-06,0.8777,0.8777,0.8777,1
2018-10-07,0.7959,0.7959,0.7959,1
2018-10-08,0.0,0.0,0.0,1
2018-10-10,0.08193333333333332,-0.6124,0.6468,6
2018-10-13,0.66005,0.4071,0.913,2
2018-10-14,0.4926,0.4926,0.4926,1
2018-10-16,-0.6092,-0.7424,-0.4376,3
2018-10-17,0.454425,-0.6311,0.9441,4
2018-10-18,0.37138,-0.273,0.9537,5
2018-10-19,0.6476,0.6476,0.6476,1
2018-10-20,0.8799333333333333,0.7513,0.9761,3
2018-10-21,0.9402,0.9402,0.9402,1
2018-10-22,-0.5707,-0.5707,-0.5707,1
2018-10-23,0.0,0.0,0.0,1
2018-10-25,-0.08707142857142858,-0.8979,0.972,7
2018-10-26,-0.16606666666666667,-0.8977,0.6124,3
2018-10-27,-0.13887999999999998,-0.9612,0.6696,5
2018-10-29,0.58405,0.203,0.9651,2
2018-10-30,0.8416222222222223,0.555,0.9538,9
2018-10-31,0.016125,-0.7768,0.7055,4
2018-11-01,0.42565,0.0,0.8513,2
2018-11-03,0.60655,-0.4501,0.8805,6
2018-11-04,0.704975,0.5267,0.9436,4
2018-11-05,0.3169,-0.636,0.9299,6
2018-11-06,0.513975,-0.1739,0.9582,8
2018-11-07,0.2944,0.2944,0.2944,1
2018-11-09,0.012914285714285703,-0.7901,0.7574,7
2018-11-10,0.3715,-0.0258,0.7688,2
2018-11-11,0.9248333333333333,0.8885,0.9575,3
2018-11-12,-0.100325,-0.9112,0.9795,4
2018-11-13,-0.5063,-0.8012,0.0,3
